full_name,language,stars,size_kb,default_branch,markers,adoption_date,adoption_signal,adoption_detail,total_ai_events,pre_months,post_months,total_commits,avg_commits_per_month,first_commit,last_commit,window_valid
open-telemetry/opentelemetry-java-instrumentation,Java,2479,197187,main,copilot,2025-09-17T08:13:17-07:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,47,101,6,13586,125.8,2017-04-24T11:40:31+02:00,2026-03-09T12:31:50+02:00,True
oraxen/oraxen,Java,695,34381,master,cursor,2025-08-16T21:00:32+01:00,file_add,file_add:.cursor/rules/,64,72,7,3046,39.05,2019-08-21T22:38:19+02:00,2026-03-01T21:14:55+00:00,True
plantuml/plantuml,Java,12766,651753,master,copilot,2025-12-03T16:32:17+01:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,5,181,3,2671,19.5,2010-11-15T21:35:36+01:00,2026-03-08T16:29:52+01:00,True
schmave/demschooltools,Java,7,42608,main,copilot,2025-11-30T16:00:25-05:00,file_add,file_add:AGENTS.md,2,151,3,2543,20.34,2013-04-08T08:27:59-04:00,2026-02-08T12:06:50-05:00,True
snyk/snyk-eclipse-plugin,Java,20,77656,main,cursor,2025-08-18T10:12:34+02:00,file_add,file_add:.cursorrules,1,74,7,671,11.0,2019-06-11T14:57:05+02:00,2026-03-05T16:37:54+01:00,True
tradestreamhq/tradestream,Java,5,73261,main,cursor,2025-06-21T23:58:29-04:00,file_add,file_add:.cursorrules,138,7,9,2772,213.23,2024-11-02T21:26:40-04:00,2026-03-08T20:59:11-04:00,True
wisemapping/wisemapping-open-source,Java,240,26490,develop,cursor,2025-10-14T16:24:18-03:00,file_add,file_add:.cursorrules,1,196,4,3229,32.29,2009-06-07T18:59:43+00:00,2026-02-20T07:57:39-03:00,True
wso2-extensions/identity-organization-management,Java,6,9107,main,copilot,2025-08-10T13:19:46+05:30,file_add,file_add:.github/copilot-instructions.md,2,44,7,2830,54.42,2021-12-08T13:47:39+05:30,2026-03-08T16:21:19+00:00,True
IstiN/dmtools,Java,34,9702,main,"aider,claude_code",2025-06-03T12:44:09+03:00,file_add,file_add:.cursor/rules/,85,15,9,1405,58.54,2024-03-06T14:24:33+03:00,2026-03-08T13:20:24+00:00,True
AlexProgrammerDE/SoulFire,Java,488,26502,main,claude_code,2025-10-18T19:35:40+02:00,file_add,file_add:AGENTS.md,130,115,5,4314,60.76,2016-03-01T19:44:33+01:00,2026-03-09T15:14:27+00:00,True
ArcadeData/arcadedb,Java,729,45496,main,claude_code,2024-10-19T08:29:29-07:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,43,38,17,5320,95.0,2021-08-16T12:01:30-04:00,2026-03-09T17:25:52-04:00,True
AxonFramework/AxonFramework,Java,3558,76605,main,claude_code,2025-03-27T13:31:21+00:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,3,182,12,16455,84.38,2010-01-19T18:36:08+00:00,2026-03-09T10:18:34+01:00,True
DIGI-UW/OpenELIS-Global-2,Java,205,239953,develop,claude_code,2025-11-14T02:46:26-08:00,file_add,file_add:CLAUDE.md,14,83,4,9069,103.06,2018-12-05T13:59:54-08:00,2026-03-09T21:44:08+03:00,True
DataSQRL/flink-sql-runner,Java,28,20167,main,claude_code,2025-04-02T13:41:09-03:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,5,6,11,496,27.56,2024-10-18T16:46:41-07:00,2026-03-09T21:26:03+01:00,True
Engineering-Research-and-Development/dsp-true-connector,Java,5,7079,main,copilot,2025-11-27T15:56:05+01:00,file_add,file_add:.github/copilot-instructions.md,1,20,4,205,8.54,2024-03-20T15:09:32+01:00,2026-03-09T15:48:08+00:00,True
HDFGroup/hdfview,Java,130,343944,master,claude_code,2025-09-12T13:34:30-05:00,file_add,file_add:CLAUDE.md,58,124,5,1760,20.0,2015-05-28T09:54:09-05:00,2026-02-27T17:11:30-06:00,True
Haehnchen/idea-php-symfony2-plugin,Java,928,15936,master,claude_code,2025-11-29T12:37:02+01:00,file_add,file_add:CLAUDE.md,2,151,4,3847,27.28,2013-04-07T18:24:40+02:00,2026-03-09T21:28:12+01:00,True
LianjiaTech/bella-openapi,Java,207,5344,develop,claude_code,2025-06-18T22:45:41+08:00,file_add,file_add:CLAUDE.md,22,11,9,903,43.0,2024-07-31T11:07:17+08:00,2026-03-05T11:15:42+08:00,True
OpenFeign/feign,Java,9791,10794,master,codex,2024-10-21T13:52:28+00:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,10,151,17,2873,18.42,2012-03-18T01:07:52-07:00,2026-03-06T02:36:30-03:00,True
OpenFeign/querydsl,Java,582,59512,master,claude_code,2025-07-08T09:45:15-03:00,file_add,file_add:CLAUDE.md,5,209,8,10395,54.71,2008-02-19T19:03:00+00:00,2026-03-09T05:51:20+00:00,True
PacoVK/tapir,Java,235,101169,main,claude_code,2025-11-01T09:31:17+01:00,file_add,file_add:CLAUDE.md,4,34,3,1280,35.56,2023-01-22T13:59:07+01:00,2026-02-26T20:52:58+00:00,True
Servoy/servoy-client,Java,13,205350,master,copilot,2025-08-11T15:14:12+02:00,file_add,file_add:.github/copilot-instructions.md,1,285,7,16518,86.03,2001-11-13T13:49:58+00:00,2026-03-09T15:06:43+02:00,True
SimoneAvogadro/HumanDetection4Tasker,Java,26,248733,master,claude_code,2025-09-01T14:02:27+02:00,file_add,file_add:CLAUDE.md,8,14,6,95,7.92,2024-07-05T20:59:02+02:00,2026-03-04T22:56:13+01:00,True
SistrScarlet/LittleMaidReBirth-Architectury,Java,63,12325,1.20.1,claude_code,2025-07-04T22:33:49+09:00,file_add,file_add:CLAUDE.md,91,56,8,508,12.39,2020-11-02T21:31:51+09:00,2026-03-09T16:15:15+09:00,True
alibaba/spring-ai-alibaba,Java,8644,230810,main,claude_code,2025-06-05T18:29:53+08:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,29,9,9,3109,163.63,2024-09-09T09:35:50+08:00,2026-03-07T13:59:09+08:00,True
apache/struts,Java,1349,85800,main,claude_code,2025-05-12T14:26:42+02:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,35,231,10,8236,34.46,2006-02-22T05:16:10+00:00,2026-03-06T08:00:50+01:00,True
bloxbean/cardano-client-lib,Java,129,12315,master,claude_code,2025-10-17T13:29:18+08:00,file_add,file_add:CLAUDE.md,22,54,5,1086,19.05,2021-04-15T18:16:02+08:00,2026-03-06T12:33:43+01:00,True
bytechefhq/bytechef,Java,737,113426,master,claude_code,2025-08-03T23:11:30+02:00,file_add,file_add:CLAUDE.md,483,110,7,15624,279.0,2016-06-12T16:08:33-07:00,2026-03-09T09:29:23+01:00,True
caoccao/Javet,Java,942,18363,main,claude_code,2025-09-08T10:20:48+02:00,file_add,file_add:CLAUDE.md,1,56,6,155,2.77,2021-01-14T11:04:45+08:00,2026-03-04T16:30:11+01:00,True
datavane/tis,Java,1285,33957,master,claude_code,2025-10-03T15:17:22+08:00,file_add,file_add:CLAUDE.md,1,61,5,1343,20.04,2020-09-26T10:48:49+08:00,2026-03-09T12:59:53+08:00,True
domaframework/doma,Java,494,24416,master,claude_code,2025-06-05T21:20:38+09:00,file_add,file_add:CLAUDE.md,43,192,9,3832,21.05,2009-06-26T14:53:17+00:00,2026-03-09T17:13:04+00:00,True
entur/antu,Java,5,8728,main,claude_code,2025-11-06T16:11:39+01:00,file_add,file_add:CLAUDE.md,1,48,4,1151,21.72,2021-11-11T11:09:58+01:00,2026-03-09T16:17:04+00:00,True
freeplane/freeplane,Java,3986,232741,1.13.x,claude_code,2025-07-27T14:06:50+02:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]laude,75,199,8,19142,92.03,2008-12-06T17:14:10+00:00,2026-03-06T22:25:18+01:00,True
hackvertor/hackvertor,Java,238,36114,master,claude_code,2025-07-17T13:40:12+01:00,file_add,file_add:CLAUDE.md,1,121,7,665,10.9,2015-06-03T15:42:11+01:00,2026-02-19T20:24:01+00:00,True
maxmind/GeoIP2-java,Java,857,7167,main,claude_code,2025-08-25T16:03:37+00:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]laude,38,148,7,1767,13.39,2013-04-05T15:42:14-04:00,2026-03-09T10:34:56-07:00,True
openrewrite/rewrite,Java,3333,119492,main,claude_code,2025-06-09T22:14:54-04:00,file_add,file_add:CLAUDE.md,48,107,9,10499,115.37,2016-07-05T20:49:56-07:00,2026-03-09T13:48:05+01:00,True
opentripplanner/OpenTripPlanner,Java,2564,221849,dev-2.x,claude_code,2025-10-07T12:57:57+02:00,file_add,file_add:CLAUDE.md,3,193,5,31315,157.36,2009-09-10T16:49:17+00:00,2026-03-09T18:29:36+00:00,True
orphan-oss/ognl,Java,243,8790,main,claude_code,2025-10-25T18:16:31+02:00,file_add,file_add:CLAUDE.md,14,224,5,1126,8.53,2007-02-04T16:48:50+00:00,2026-03-06T13:34:07+00:00,True
phax/ph-commons,Java,40,49467,master,claude_code,2025-08-19T21:53:37+02:00,file_add,file_add:.github/copilot-instructions.md,3,132,7,3668,26.97,2014-08-18T09:21:36+02:00,2026-03-05T13:23:02+01:00,True
portfolio-performance/portfolio,Java,3713,64591,master,claude_code,2025-07-12T19:05:00+02:00,file_add,file_add:CLAUDE.md,2,160,8,7894,46.99,2012-03-24T13:42:34+01:00,2026-03-08T07:47:04+01:00,True
qlangtech/plugins,Java,18,12763,master,claude_code,2025-09-12T17:17:19+08:00,file_add,file_add:CLAUDE.md,1,65,6,1098,15.69,2020-04-24T18:15:25+08:00,2026-03-09T12:59:25+08:00,True
salesforce/multicloudj,Java,72,17560,main,claude_code,2025-10-21T10:40:28-07:00,file_add,file_add:CLAUDE.md,1,6,5,283,23.58,2025-04-15T11:43:25-07:00,2026-03-09T14:01:03-07:00,True
slackhq/astra,Java,246,7227,master,claude_code,2025-06-12T08:21:45-07:00,file_add,file_add:CLAUDE.md,1,59,9,1251,20.18,2020-07-07T17:32:00-07:00,2026-03-09T12:31:51-07:00,True
smithy-lang/smithy-java,Java,49,8569,main,claude_code,2025-06-12T13:30:15-07:00,file_add,file_add:CLAUDE.md,2,15,9,1097,43.88,2024-03-12T10:12:30-07:00,2026-03-09T09:54:26-07:00,True
top-logic/tl-engine,Java,8,173514,master,claude_code,2025-10-22T14:14:01+02:00,file_add,file_add:CLAUDE.md,7,66,5,6655,184.86,2020-04-03T15:56:22+00:00,2026-03-09T08:41:25+01:00,True
xerial/snappy-java,Java,1081,38925,main,claude_code,2025-07-19T08:50:10-07:00,file_add,file_add:CLAUDE.md,15,172,6,1240,11.27,2011-03-29T16:57:23+09:00,2026-01-06T20:06:26-08:00,True
xtclang/xvm,Java,210,110199,master,claude_code,2025-09-01T22:06:06+02:00,file_add,file_add:CLAUDE.md,6,107,6,9240,81.05,2016-10-17T17:40:20-04:00,2026-03-09T17:46:31-04:00,True
yennanliu/CS_basics,Java,131,323943,master,claude_code,2025-10-01T07:37:08+08:00,file_add,file_add:CLAUDE.md,69,110,5,7786,84.63,2016-08-21T19:12:57+08:00,2026-03-09T11:33:03+08:00,True
zilliztech/vts,Java,113,44336,master,claude_code,2025-06-21T00:05:43-03:00,file_add,file_add:CLAUDE.md,3,94,9,4910,51.68,2017-08-05T22:30:14+08:00,2026-03-05T16:41:11+08:00,True
4Soft-de/harness-model,Java,9,14047,develop,copilot,2025-08-22T10:35:49+02:00,file_add,file_add:.github/copilot-instructions.md,2,68,6,1800,26.87,2019-12-27T13:18:12+01:00,2026-02-12T09:23:58+01:00,True
JWebMP/Core,Java,5,101773,master,copilot,2025-12-01T00:38:12+02:00,file_add,file_add:.github/copilot-instructions.md,1,109,3,615,7.41,2016-11-16T18:33:15+02:00,2026-03-04T06:14:01+02:00,True
MindsIgnited/continuum-framework,Java,7,76058,develop,cursor,2025-08-26T13:49:16-07:00,file_add,file_add:.cursorrules,1,49,6,625,14.53,2021-07-20T22:59:55-07:00,2026-02-08T00:25:32-06:00,True
