full_name,treated,stars,size_kb,forks,num_commits,num_contributors,repo_age_months
entur/antu,1,5,8728,1,1151,13,52
eugenp/tutorials,0,37356,118576,53767,20505,321,155
eventuate-tram-examples/eventuate-tram-sagas-micronaut-examples-customers-and-orders,0,20,1443,12,92,2,78
eviltester/seleniumSimplifiedRCBook,0,19,11099,10,4,2,108
exadel-inc/etoolbox-rollout-manager,0,20,1678,0,277,16,53
exceting/cicada,0,20,373,1,92,1,32
explore-de/rage4j,1,10,4560,2,202,16,15
f-lab-edu/FKREAM,0,20,1585,4,607,5,36
factionsecurity/faction,0,591,105684,60,412,5,28
fanruan/intelli-swift-core,0,20,80165,9,22830,116,89
fantahund/VoxelMap,0,44,3360,19,804,21,51
fat-tire/floreantpos,0,57,72127,56,1612,2,124
feiniaojin/ddd-hcms,0,20,309,11,44,7,23
finos/common-domain-model,0,221,114054,110,6348,71,97
firebase/firebase-android-sdk,0,2492,117636,669,3407,157,91
florianreuth/DietrichEvents2,0,29,509,2,145,10,33
forcedotcom/SalesforceMobileSDK-Android,0,357,84077,394,8779,55,172
freeplane/freeplane,1,3986,232741,472,19142,435,162
frqnny/dark-enchanting,0,19,499,13,122,11,78
futehkao/elements,0,20,4191,12,387,4,111
gchq/stroom,0,468,217426,62,20633,15,112
gdzx/audiosource,0,358,340,17,70,7,62
gematik/lib-vau,0,20,115,5,30,5,23
gluonhq/emoji,0,19,33041,8,32,6,33
gooddata/gooddata-java,0,20,5317,62,1949,61,143
google/auto,0,10550,48719,1215,2067,81,154
google/caliper,0,821,8801,108,666,24,130
google/tsunami-security-scanner-callback-server,0,20,278,2,37,6,49
google/tsunami-security-scanner-plugins,0,1002,34713,214,1782,68,69
googleapis/java-spanner,0,82,44865,137,3227,154,79
grafioschtrader/grafioschtrader,1,23,98278,6,917,3,74
graphql-java/graphql-java,1,6231,26530,1149,6292,315,128
greenback-inc/greenback-java,0,20,2985,5,179,8,65
guardtime/ksi-java-sdk,0,19,14067,4,1429,16,126
gunkim/spring-security-jwt-sample,0,20,261,4,92,4,67
gushakov/axon-zeebe,0,19,3905,8,13,1,77
gwenn/sqlite-jna,0,30,1783,8,760,4,169
hackvertor/hackvertor,1,238,36114,63,665,25,100
haiwen/seadroid,0,614,96675,291,2584,41,160
halo-dev/halo,0,38066,83641,10227,6013,147,96
hantsy/jakartaee-rest-sample,0,27,617,4,681,3,73
hawtio/hawtio,0,1459,112185,545,10362,124,159
hazelcast/hazelcast,0,6589,422550,1872,40934,293,168
henhen6/mdp,0,92,9445,3,248,3,4
heutelbeck/sapl-policy-engine,0,55,32462,19,3020,36,98
hexlet-components/ru-my-first-pullrequest,0,154,11667,3901,11027,437,64
hiwepy/pf4j2-spring-boot-starter,0,20,165,4,87,4,100
hmcts/finrem-case-orchestration-service,1,8,28232,2,2977,79,91
hoo-dles/morphe-patches,0,178,618,2,128,3,2
huanzi-qch/spider,0,20,542,23,34,2,80
hyperledger/besu,1,1775,105415,1015,6571,296,78
i-bardinov/Godot-GooglePlay-InApp-Review,0,20,59,6,2,1,66
ib-ai/IB.ai,0,20,53458,17,919,12,93
ihongs/HongsCORE,0,67,78100,8,6156,1,119
imgix/imgix-java,0,19,614,8,248,19,138
infinistor/ksantest,0,37,3558,2,339,3,52
informatici/openhospital-core,0,105,82633,136,2309,47,86
internetarchive/heritrix3,0,3200,12465,778,2910,47,173
io7m-com/jwheatsheaf,0,20,3241,1,408,4,72
ion-fusion/fusion-java,0,24,5462,8,2021,30,16
itinycheng/flink-platform-backend,0,20,12581,6,785,7,53
izpack/izpack,0,349,46441,236,6051,86,165
jacoco/jacoco,0,4502,12018,1198,2159,57,164
jasonlessenich/DIH4JDA,0,19,1307,1,608,9,52
javadev/hexeditor,0,37,761,9,37,2,140
javadev/qrcode-generator,0,20,1352,8,42,3,154
jbosstm/quickstart,0,115,12606,109,1197,20,170
jenkinsci/extensible-choice-parameter-plugin,0,19,692,36,255,22,158
jenkinsci/klocwork-plugin,0,20,1056,21,463,30,178
jenkinsci/parameter-separator-plugin,0,19,679,13,338,16,141
jenkinsci/versionnumber-plugin,0,20,268,39,263,27,183
jgroups-extras/jgroups-raft,0,285,2137,87,858,18,136
jhy/jsoup,0,11349,6912,2284,2399,105,195
jitterted/jitterticket-event-sourced,0,20,922,8,410,1,12
jjazzboss/JJazzLab,0,520,57360,37,13539,8,78
jonesdevelopment/sonar,0,230,4700,29,1579,12,34
jotak/demo-mesh-arena,0,19,1285,18,182,6,94
jottley/spring-salesforce,0,33,469,38,167,17,171
jumpserver/chen,0,19,21876,21,178,14,20
junit-team/junit-framework,0,6979,42611,1659,10607,253,134
junrar/junrar,0,310,13965,86,474,22,162
kamachiii/Learning-place,0,19,18500,0,35,2,40
kangaroo1122/minio-spring-boot-starter,0,19,223,5,58,3,42
kendzi/kendzi-math,0,20,311,8,74,3,146
kestra-io/plugin-aws,0,20,1469,28,525,42,69
kestra-io/plugin-jdbc,0,21,3483,32,761,49,66
kineticedge/kafka-streams-dashboards,0,46,26274,12,88,3,40
knime/knime-python,1,86,14610,38,3345,72,102
konsoletyper/teavm,0,3008,130058,306,3640,67,150
koupleless/runtime,0,20,275561,32,2907,59,24
kousen/java_8_recipes,1,388,2019,290,463,7,120
kousen/java_latest,1,126,4155,82,286,1,73
kroxylicious/kroxylicious,0,259,15892,83,4826,32,48
lakernote/EasyPostman,0,581,17675,42,1989,6,9
ldbc/ldbc_snb_interactive_v1_driver,0,20,68143,34,1288,57,157
leavesCZY/EventLiveData,0,20,275,7,16,3,68
legsem/legstar-core2,0,20,1052,18,118,6,136
lhccong/CRPC,0,20,167,3,19,1,31
lilishop/lilishop,1,4121,49462,1007,2328,33,58
line/line-bot-sdk-java,0,639,32020,938,2077,51,119
linkedin/rest.li,0,2532,28418,556,3012,121,160
liuyueyi/spring-ai-demo,0,29,11505,10,49,1,8
liwfay/Calendar,0,20,2905,10,13,2,81
lockss/lockss-daemon,0,68,2026418,16,76165,19,122
lsfusion/platform,0,202,136291,40,22560,15,93
lukas-krecan/JsonUnit,0,984,4141,119,2053,41,170
ly-nxs/terrarium,0,20,1955,6,9,1,12
mabartos/keycloak-adaptive-authn,0,64,139800,10,485,5,24
making/retryable-client-http-request-interceptor,0,20,192,3,139,3,35
marcel0ll/CustomItems,0,19,3175,21,158,9,138
marcushellberg/full-stack-java-2026,0,19,73,1,5,1,22
mark99i/AppSearcher,0,20,13908,2,26,2,48
markus7017/myfiles,0,25,177450,6,1677,7,76
masecla22/Modrinth4J,0,20,471,4,408,7,39
maxmind/GeoIP2-java,1,857,7167,206,1767,57,155
maxmind/MaxMind-DB-Reader-java,0,126,2082,50,1028,39,154
mehmet-ongel/oracle-certified-proffesional-java-se-21-developer-certification-exam,0,20,89,17,1,1,13
mendespann/picpay-simplificado,0,20,62398,1,20,1,22
metasfresh/metasfresh,0,2268,347873,758,60017,65,125
mguessan/davmail,0,705,96538,103,3876,1,93
micro-manager/micro-manager,0,298,309142,247,22340,32,134
micrometer-metrics/micrometer,0,4824,39381,1073,8390,301,107
micronaut-projects/micronaut-core,0,6392,113452,1171,15111,401,96
micronaut-projects/micronaut-elasticsearch,0,19,12465,18,770,33,88
microsoft/LangChain4j-for-Beginners,0,216,3208687,75,1045,8,5
microsoft/gctoolkit,1,1282,2180,164,529,44,56
microsoft/openjdk-jdk21u,0,20,1174399,12,77339,1814,31
microsphere-projects/microsphere-spring-boot,0,19,881,23,423,2,37
miguel-porto/flora-on-server,0,20,5849,3,441,3,124
mikelhm/MikelProjectDemo,0,20,4690,7,13,3,44
mikyll/JavaFX-MultiplayerLobbySystem,0,19,85444,5,208,2,55
