treatment_repo,control_repo,ps_treatment,ps_control,distance,smd_stars,smd_size_kb,smd_forks,smd_num_commits,smd_num_contributors,smd_repo_age_months
maxmind/GeoIP2-java,google/caliper,0.097589,0.089569,0.775019,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
bytechefhq/bytechef,mzmine/mzmine,0.339857,0.339468,0.993689,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
wso2-extensions/identity-organization-management,eclipse-tractusx/tractusx-edc,0.190239,0.209018,1.469072,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
mixpanel/mixpanel-android,internetarchive/heritrix3,0.090210,0.100935,0.876768,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
open-telemetry/opentelemetry-java-contrib,atlassian/data-center-helm-charts,0.171395,0.151360,0.405378,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
schmave/demschooltools,SmartTools/smartactors-core,0.156652,0.177245,0.586481,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
dadoonet/fscrawler,linkedin/rest.li,0.121713,0.111734,0.615950,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
axonivy-market/portal,averbraeck/opentrafficsim,0.357513,0.333647,1.203004,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
AlexProgrammerDE/SoulFire,lakernote/EasyPostman,0.245336,0.254688,1.018101,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
hyperledger/besu,micrometer-metrics/micrometer,0.205793,0.182356,0.854260,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
TimefoldAI/timefold-solver,AutoMQ/automq,0.324684,0.328639,1.666575,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
Angular2Guy/MovieManager,sekelsta/horse-colors,0.113690,0.116424,0.522104,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
Women-Coding-Community/wcc-backend,opensearch-project/flow-framework,0.150377,0.135871,0.547381,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
tradestreamhq/tradestream,Hydraheads/RoundaboutMod,0.300668,0.298332,1.598593,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
quarkiverse/quarkus-hivemq-client,micronaut-projects/micronaut-elasticsearch,0.141483,0.123653,0.990070,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
top-logic/tl-engine,fanruan/intelli-swift-core,0.336055,0.321794,1.577207,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
SistrScarlet/LittleMaidReBirth-Architectury,fantahund/VoxelMap,0.131541,0.147001,0.625151,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
modlix-india/nocode-saas,koupleless/runtime,0.276323,0.274846,1.543330,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
plantuml/plantuml,oshi/oshi,0.109143,0.117044,0.972805,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
MindsIgnited/continuum-framework,css4j/css4j,0.169027,0.177719,1.055284,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
hmcts/finrem-case-orchestration-service,ManaZeak/ManaZeak,0.194447,0.191204,0.759347,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
